Embeddings,Landmarks
13.1572735046709,2.22648689063665
33.685958558189,3.63018937799337
12.4425354234009,1.04335142807743
4.53187410159193,1.98706270377646
11.9152979782336,0.963241286493166
19.8728390277557,1.83994384032357
12.0965692019559,3.53195805507451
8.26909712031024,2.182191033243
16.1619028644167,4.25653581634538
6.14735865490755,2.7241417783407
20.2820740271424,4.49055890135236
25.9501316376612,6.2399973694885
11.9602934850255,3.72910899988289
9.38948808034696,0.558790327217193
8.96086293428409,3.72910899988289
10.1167005977315,3.82872157711371
8.0023865766682,3.58098796842827
23.3718334018094,2.24493919371479
15.8159746093455,3.82872157711371
21.8562236863206,2.54095108063913
18.499186754877,3.24134798594069
8.86900857628001,4.60297179925245
30.8191603198354,2.5865082607311
18.5173525461947,2.7241417783407
36.2977938386,2.70836971168664
21.8865235923994,3.40731031642016
30.2413880004295,6.75433838528189
34.3455140975605,4.65114258697034
18.0615805413953,0.524283171284953
19.0454737474505,4.91770162377431
22.2824072718608,0.304862774753185
13.4468749114233,3.63018937799337
34.3713063927716,0.100278681358819
14.9272380865172,0.304862774753185
12.7983477255162,3.00378525510306
31.3008983880404,1.65970056546974
16.6810653689321,0.661560633469795
13.8152572064337,3.79461631586652
17.4929845709769,0.314585507512066
11.4536560468326,3.77882837629034
12.4448328725282,5.52074686049456
25.1832875831224,3.58098796842827
2.34372454042203,0.963195136288098
29.7395969304457,5.52074686049456
15.8116004037358,1.28712088359374
14.5620796875602,4.28568064721166
5.71751046843504,4.85363825875362
4.96129841617384,5.98435273898219
8.61998674994955,0.192776093672795
13.1543203924506,0.208013331560605
22.2665049011858,2.09406497760247
9.25973357096685,1.25501388163087
15.6990332950799,2.7241417783407
4.34882265444648,0.100278681358819
9.13268982655217,1.28712088359374
3.87028989173667,4.81052013327384
25.3463939589093,4.03004445057956
12.8127758222003,6.71843102594616
7.97423968010686,1.62926318729154
7.6446908541236,1.8764430743504
18.6692579627548,1.53612440267538
35.7876871130259,0.304862774753185
7.65210919115262,0.930169541447988
6.03557905629352,5.46496380756103
8.362929979743,1.92854881894796
30.2200697687413,5.13431959605782
8.35245781501902,1.62926318729154
32.9376448681366,3.05096606171921
28.3946935415728,4.81052013327384
25.5050182283176,1.47535664969651
26.4214621290907,1.81018518632998
4.21246581686511,0.489650214071491
8.95503483518678,0.380259874702398
5.14384695233988,3.11729298387132
19.3263510151856,5.82955790432162
19.4785145607788,0.172231453723139
28.4318846372193,1.35014858494259
2.2542969008942,2.86475022710851
11.8962551868463,2.67810308569373
10.2108999519334,2.09406497760247
6.68754944172047,0.064107018311793
9.98936778352363,3.00378525510306
5.5742666940696,1.8764430743504
18.4832982671844,0.045193725113909
16.8947957062694,5.46496380756103
22.4539347472523,4.75720897269442
5.13791588009197,0.064107018311793
9.42701674209098,2.54095108063913
12.4119745262989,1.15881612638984
20.9819602154942,6.74849872099827
10.8329279671762,5.13431959605782
22.0038620779802,2.31554676959688
8.22464940784477,2.76090605030186
8.94804749781782,5.66290136317403
14.593769014324,1.50636830771131
9.33783355598125,1.56804545741536
33.3667354994407,3.28936090156718
36.3478975495558,3.82872157711371
11.8806513354461,3.57008038403868
30.7097055194035,5.29877705463362
8.59464198498788,0.41816143683249
12.4250860597705,1.53612440267538
23.3889248438729,4.83626567147532
3.87537916726857,1.08362032856745
9.01959232925688,4.71237569481962
7.83147991401588,2.7241417783407
8.59045070146492,0.695568222529505
14.0664420827044,3.82872157711371
8.48219227396316,1.96303259679772
14.6101616232682,3.33754190436231
13.306904614936,4.25653581634538
7.97348268837728,0.027804655513039
20.7655450149876,3.14582418418822
10.888314537188,5.68926808904067
26.8690067882495,2.52123082445221
10.2900454606917,2.78702025580075
19.4228503261398,0.314585507512066
3.16053607862554,1.57814079181061
3.51368463029892,0.996099558855457
