Ground Truth Height,Predicted Height,Absolute Height Error Percentage
1.73,1.70842829218567,1.24691952683989
1.69,1.74800216725641,3.43208090274616
1.64,1.68205837459733,2.56453503642256
1.58,1.69010294865338,6.96854105401138
1.8,1.768686184127,1.73965643738889
1.78,1.71902934552698,3.42531766702361
1.78,1.73910545400568,2.29744640417528
1.76,1.76544195456784,0.309201964081813
1.74,1.69927649277412,2.34043144976322
1.65,1.67407631551202,1.45917063709212
1.76,1.72506613572333,1.98487865208353
1.72,1.73225592769851,0.712553935959879
1.64,1.68282876938262,2.61151032820853
1.6,1.67259304094356,4.5370650589725
1.79,1.71904809375974,3.96379364470727
1.78,1.7231412934242,3.19430935819101
1.85,1.73707610247206,6.10399446096973
1.77,1.70673118682883,3.57450921871017
1.87,1.74456300960071,6.70786044915991
1.77,1.72035281001684,2.80492598774916
1.78,1.72329344707336,3.18576140037303
1.69,1.7258349294965,2.12041002937871
1.8,1.75624282118809,2.43095437843944
1.8,1.72647194585765,4.08489189679722
1.84,1.7933395703509,2.53589291571196
1.81,1.77800460248733,1.76770152003702
1.62,1.70644958535404,5.33639415765678
1.56,1.55595498860237,0.259295602412181
1.74,1.72374053288231,0.934452133200568
1.67,1.70842829218567,2.30109534045928
1.72,1.68279185854545,2.16326403805523
1.7,1.63560335050914,3.78803820534471
1.77,1.73704026659684,1.862131830687
1.68,1.71827198235272,2.2780941876619
1.74,1.76206784640541,1.26826703479368
1.72,1.73131815411505,0.658032215991279
1.72,1.73430573058992,0.831728522669775
1.68,1.73948983590777,3.54106166117677
1.72,1.72709616476978,0.412567719173258
1.7,1.71379189524982,0.811287955871761
1.83,1.72589094214967,5.68901955466285
1.73,1.71674062469491,0.766437878906938
1.88,1.72689381267519,8.1439461342984
1.78,1.7110818839419,3.87180427292697
1.65,1.7210237821375,4.30447164469698
1.59,1.69580539623131,6.65442743593146
1.86,1.71677774862269,7.70012104179085
1.82,1.7147299846407,5.78406677798352
1.78,1.72935036817611,2.84548493392641
1.77,1.75777991555942,0.690400250880225
1.73,1.70065326012442,1.69634334540925
1.66,1.63962219886608,1.22757838156146
1.88,1.72322314994444,8.33919415189149
1.81,1.7344519650274,4.17392458412154
1.87,1.73500110248288,7.21919238059466
1.83,1.7254807614482,5.7114338006448
1.82,1.72075200883701,5.45318632763683
1.81,1.70932138712702,5.5623543023746
1.74,1.71765681042421,1.28409135493046
1.73,1.71800077043862,0.693597084472832
1.66,1.71156580648722,3.10637388477227
1.63,1.69236077820453,3.82581461377485
1.62,1.60400819315594,0.987148570620994
1.6,1.60775469627128,0.484668516955
1.63,1.54976550782921,4.92236148287054
1.6,1.7211288612399,7.57055382749375
1.73,1.7481342594203,1.04822308787861
1.66,1.75408599850191,5.66783123505481
1.77,1.72221577688677,2.69967362221639
1.69,1.72576882382029,2.11649845090473
1.65,1.68357892123486,2.03508613544606
1.55,1.62327229696899,4.72724496574128
1.86,1.74669952873103,6.09142318650375
1.84,1.74856345323904,4.96937754135652
1.78,1.7414880900798,2.16359044495506
1.76,1.72511761072653,1.98195393599261
1.69,1.69847904893373,0.501718871818348
1.64,1.68797204561541,2.92512473264694
1.76,1.70471412166525,3.14124308720171
1.67,1.7124145094253,2.53979098355091
1.86,1.73746465475036,6.58792178761505
1.82,1.71578084864577,5.72632699748517
1.87,1.71524285953258,8.27578291269625
1.86,1.7212169157378,7.46145614312903
1.68,1.68709637946995,0.42240353987797
1.63,1.65565999842782,1.5742330323816
1.82,1.73399183716288,4.7257232328088
1.72,1.7299910987329,0.580877833308149
1.81,1.72997566849773,4.4212337846558
1.74,1.7262594487078,0.789686855873562
1.66,1.68164701214776,1.30403687637108
1.57,1.57626559395756,0.39908241767898
1.74,1.5993343158046,8.08423472387356
1.7,1.61926347898694,4.7492071184153
1.73,1.68012460683824,2.8829707029919
1.67,1.72057549061288,3.02847249178922
1.72,1.68365096840814,2.11331579022442
1.64,1.64472168944536,0.287907893009749
1.64,1.70842829218567,4.17245684058962
1.63,1.68405575796284,3.31630416949939
1.76,1.712434334461,2.70259463289773
1.72,1.71487330704112,0.298063544120931
1.66,1.64078709217511,1.15740408583676
1.61,1.59218969737597,1.10622997664781
1.71,1.71841404991723,0.492049702761991
1.67,1.69367695532366,1.4177817559078
1.81,1.73420964822056,4.18731225300774
1.74,1.72754096714832,0.716036370786209
1.78,1.7186144770362,3.44862488560674
1.74,1.71741444107165,1.29802062806609
1.74,1.71391410010627,1.49918964906495
1.74,1.67644460755578,3.65260876116207
1.7,1.63228894151221,3.98300344045825
1.69,1.56388826262366,7.46223298084851
1.66,1.69873254058118,2.33328557717951
1.61,1.70933777901416,6.17004838597268
1.83,1.81771949890409,0.671065633656293
1.8,1.77210202507192,1.54988749600445
1.62,1.70359562408253,5.16022370879815
1.58,1.70658775427082,8.01188318169746
1.82,1.74186175159691,4.29331035181813
1.77,1.71283406970315,3.22971357609323
1.83,1.75450110266103,4.1256228054082
1.76,1.69451017198834,3.72101295520796
1.72,1.72367879024899,0.213883154011039
1.66,1.72485861523017,3.90714549579337
1.64,1.72913418330421,5.43501117708597
