Ground Truth Height,Predicted Height,Absolute Height Error Percentage
1.82,1.78960183664402,1.67022875582308
1.75,1.78590730149106,2.05184579948914
1.76,1.76038889327989,0.022096209084653
1.71,1.77724558385794,3.93249028409006
1.62,1.63138348864882,0.702684484495061
1.52,1.62942545172747,7.19904287680724
1.88,1.78708683758571,4.9421894901218
1.86,1.76610056814183,5.04835655151451
1.89,1.75899847277936,6.93129773654181
1.82,1.75779458050229,3.41788019218188
1.71,1.62495236792294,4.97354573550058
1.64,1.6207651370947,1.17285749422561
1.6,1.63209384651002,2.00586540687625
1.56,1.62283452154463,4.02785394516859
1.65,1.65344931632299,0.20904947412061
1.58,1.6361629651138,3.55461804517722
1.81,1.75073944249365,3.27406395062707
1.73,1.74041538589981,0.602045427734679
1.63,1.59740727335827,1.99955378170122
1.55,1.61618586279861,4.27005566442645
1.78,1.75207703509016,1.56870589381124
1.73,1.74824551109028,1.05465382024741
1.88,1.74635025689173,7.10902888873776
1.8,1.76586463183029,1.89640934276167
1.85,1.77319336203562,4.15171016023676
1.85,1.75401668725649,5.18828717532487
1.72,1.67282485659246,2.74274089578721
1.64,1.64929062143411,0.566501306957925
1.74,1.73019225248146,0.563663650490809
1.73,1.7641111993634,1.9717456279422
1.72,1.71375730617901,0.362947315173842
1.62,1.64106835524705,1.30051575599073
1.81,1.77179414725667,2.11082059355416
1.79,1.76246536104877,1.53824798610223
1.7,1.64181992431773,3.42235739307471
1.6,1.64300262126763,2.68766382922686
1.83,1.72538829192185,5.71648678022678
1.75,1.74285705419913,0.408168331478288
1.83,1.74236503784342,4.78879574626121
1.81,1.76726398495198,2.36110580375801
1.69,1.67398132240317,0.94785074537456
1.62,1.66056671152348,2.50411799527653
1.72,1.63288383942526,5.06489305667093
1.72,1.62858246221059,5.31497312729128
1.76,1.76633813587699,0.36012135664715
1.67,1.758278118669,5.28611489035928
1.73,1.74491727558274,0.862270264898268
1.7,1.74070372898242,2.39433699896588
1.81,1.74987190456906,3.32199422270388
1.75,1.73035651225793,1.12248501383258
1.66,1.64366933616665,0.983774929719881
1.64,1.60609278269888,2.0675132500683
1.72,1.73982383948592,1.15254880732093
1.62,1.63731252224057,1.06867421238086
1.73,1.64214735681981,5.07818746706301
1.65,1.62947412182106,1.24399261690545
1.81,1.75288151935441,3.15571716273978
1.76,1.75540646311108,0.260996414143185
1.7,1.68897879728796,0.648306041884718
1.64,1.73653709511662,5.88640823881829
1.83,1.73872677434147,4.98760795948251
1.74,1.72550885219424,0.832824586537924
1.67,1.64778724635417,1.33010500873233
1.58,1.62298070482992,2.72029777404556
1.63,1.6335467792563,0.217593819404907
1.57,1.63917351856814,4.40595659669681
1.85,1.75409783346628,5.1839008937146
1.83,1.76224392652965,3.70251767597541
1.81,1.77724626218581,1.80959877426465
1.79,1.78759416180282,0.134404368557547
1.69,1.65116304666699,2.29804457591775
1.68,1.63431754264554,2.71919389014645
1.8,1.7598696556181,2.22946357677223
1.73,1.75222486372939,1.28467420401098
1.8,1.7723962830763,1.53353982909444
1.76,1.76654593908682,0.371928357205688
1.64,1.64456524761394,0.278368756947558
1.62,1.68532173479038,4.03220585125801
1.74,1.75807071173175,1.03854665125
1.69,1.78148115398666,5.41308603471361
1.82,1.74072085024106,4.3559972395022
1.73,1.73086787376153,0.050166113383235
1.74,1.78012777620491,2.30619403476494
1.73,1.74693216183727,0.978737678454912
